Text,Label
"আমরা সাতদিন ধরে পানিবন্দী, কেউ আমাদের খবর নিচ্ছে না। বাড়ির চারপাশে শুধু পানি আর পানি। আমাদের খাবার আর পানির সব শেষ হয়ে গেছে। ছোট বাচ্চারা খুব অসুস্থ, দয়া করে দ্রুত সাহায্য করুন। ঠিকানা: শরীয়তপুর সদর, পুরাতন হাটখোলা। ফায়ার সার্ভিস বা সেনাবাহিনী যদি দ্রুত কিছু করতে পারে, আমাদের জীবন বাঁচবে।",emergency
"চট্টগ্রামের বাকলিয়া এলাকায় আমাদের ভবনটি হঠাৎ ধসে পড়েছে। ভেতরে আমার বাবা-মা এবং আরো তিনজন আটকে আছেন। ধুলায় কিছুই দেখা যাচ্ছে না, আর ভবনের অবস্থা খুব খারাপ। আমি ফায়ার সার্ভিসে ফোন দিয়েছি, কিন্তু এখনো কেউ এসে পৌঁছায়নি। দয়া করে দ্রুত সাহায্য পাঠান, নয়তো মানুষগুলো আর বের হতে পারবে না। ঠিকানা: বাকলিয়া, কাজীর গলি, চট্টগ্রাম।",emergency
"ঘূর্ণিঝড়ে পুরো এলাকায় ধ্বংসস্তূপ পড়ে আছে। আমাদের ঘরের ছাদ উড়ে গেছে, এবং আমরা এখন খোলা আকাশের নিচে আছি। চারপাশে শুধু পানি আর কাদা। খাবার, ওষুধ, এবং পানির খুব দরকার। আমার পরিবারের কেউ কেউ আহত, কিন্তু হাসপাতালে যাওয়ার কোনো উপায় নেই। সরকার বা রেড ক্রস যদি আমাদের খোঁজ নেয়, তা হলে আমরা বাঁচতে পারি। ঠিকানা: পাথরঘাটা, বরগুনা।",emergency
"গ্রাম: আমিরাবাদ, পোস্ট অফিস: দেওটি বাজার, ওয়ার্ড নং: 04, ইউনিয়ন: 09, সোনাইমুড়ী থানা, নোয়াখালী।  
নোয়াখালী সোনাইমুড়ী থানা থেকে কলেজ রোড দিয়ে প্রায় 9 km ভিতরে, এরিয়াতে পানির অবস্থা ভালো না। 
বিশেষ করে খাবার পানির সংকট, সব টিউবওয়েল মুখ পানির নিচে। ",
"। আমার শহরটা ভেসে যাচ্ছে, আমার এলাকায় কোমর পরিমান পানি প্রায়, বৃষ্টি নেই কিন্তু পানি ক্রমাগত বেড়েই চলেছে, সবাই ফেনী এবং নোয়াখালীর দিকেই যাচ্ছে লক্ষীপুরের কথা তেমন একটা আসছে না, দয়া করে লক্ষীপুরের দিকে নজর দিন",
"৩ দিন যাবত আমার ভাইয়ের কোন খোঁজ পাচ্ছিনা 
নাম- আব্দুল্লাহ আল বাকী (ফাহিম)
ঠিকানা- আব্দুল্লাহ মাস্টারের বাড়ি, কোলাপাড়া গ্রাম, পরশুরাম। একটু যদি খোঁজ নিয়ে দিতে পারতেন ! গত তিনদিন আগে সে সাহায্য চেয়ে এই পোস্টটি করেছিল",
"আমার ব্যাচমেট নোবিপ্রবি এসিসিই বিভাগের ২০১৮-১৯ সেশনের শিক্ষার্থী Mohammad Abdul Kaiyum এর সাথে বন্যা শুরুর পর থেকে আর যোগাযোগ করা যাচ্ছে না।
তার বাসা ফেনীর ফুলগাজী মহিলা কলেজের কাছে। 
যদি রেস্কিউ টিম থাকে প্লিজ একটু যোগাযোগের চেষ্টা করুন।",
"আমার বন্ধু কলির খোঁজ পাওয়া যাচ্ছে না গত ২দিন ধরে।  সমাজবিজ্ঞান বিভাগ, ১৫তম ব্যাচ। 

নাম : নাহিন সুলতানা কলি
ঠিকানা : সোনাগাজী। তবে সে এখন সম্ভবত ফেনী সদরেই আছে। রয়েল হাসপাতালের গলি।
ও বাসা সম্ভবত দাউদপুর। সোনাগাজী, ফেনী।",
"মাইজদী থেকে প্রায় ৪/৫ কিলো ভিতরে দানা মিয়া মাদ্রাসায় ১০০+ মানুষ আছে আশ্রয় কেন্দ্রে আছে।
এখন অব্দি এখানে দুপুরের খাবার পৌছায় নি।
শুকবা বা যে কোনো খাবার এ দিকে পাঠানোর ব্যাবস্থা করেন।।",
"এখনো কোনো টিম পৌঁছাতে পারেনি, অনেক মানুষ আটকা পড়ে আছে প্লিজ হেল্প

1.সাহানা আক্তার (45), স্বামী মৃত খন্দকার হাবিবুর রহমান  2.ইশরাত  ছুমাইয়া (১৮), সম্পর্ক মা-মেয়ে।
গ্রাম- উত্তর ধনিকুন্ডা
উপজেলা- পরশুরাম",
